Moeda	Sigla_Moeda	Preco	Und_Monetaria	Var	Periodo_Var	Data_Captura	Hora_Captura	Fornecimento_Total
Bitcoin	BTC	128039.9	BRL	-0.62	1d	2023-09-05	10:53:20	19477006.0
Ethereum	ETH	8114.58	BRL	-0.17	1d	2023-09-05	10:53:20	120218193.78
Tether USDt	USDT	4.97	BRL	-0.05	1d	2023-09-05	10:53:20	85437198727.26
BNB	BNB	1068.35	BRL	-0.63	1d	2023-09-05	10:53:20	153849854.4
XRP	XRP	2.5	BRL	-0.19	1d	2023-09-05	10:53:20	99988458761.0
USD Coin	USDC	4.98	BRL	-0.01	1d	2023-09-05	10:53:20	26026578132.81
Dogecoin	DOGE	0.32	BRL	0.96	1d	2023-09-05	10:53:20	140882276383.71
Cardano	ADA	1.28	BRL	-0.26	1d	2023-09-05	10:53:20	36137410585.89
Solana	SOL	98.02	BRL	0.55	1d	2023-09-05	10:53:20	556701285.92
TRON	TRX	0.39	BRL	0.46	1d	2023-09-05	10:53:20	89287972724.11
Toncoin	TON	8.81	BRL	-6.65	1d	2023-09-05	10:53:20	5047558528.0
Dai	DAI	4.97	BRL	-0.02	1d	2023-09-05	10:53:20	5347888595.75
Polkadot	DOT	21.26	BRL	0.28	1d	2023-09-05	10:53:20	1352637491.47
Polygon	MATIC	2.78	BRL	1.19	1d	2023-09-05	10:53:20	10000000000.0
Litecoin	LTC	312.45	BRL	-1.94	1d	2023-09-05	10:53:20	84000000.0
Shiba Inu	SHIB	0.0	BRL	-1.39	1d	2023-09-05	10:53:20	589589040239379.6
Wrapped Bitcoin	WBTC	128267.8	BRL	-0.43	1d	2023-09-05	10:53:20	162974.76
Bitcoin Cash	BCH	960.75	BRL	-0.04	1d	2023-09-05	10:53:20	19495818.75
Avalanche	AVAX	48.97	BRL	-0.5	1d	2023-09-05	10:53:20	430996488.03
UNUS SED LEO	LEO	18.35	BRL	0.54	1d	2023-09-05	10:53:20	985239504.0
Stellar	XLM	0.62	BRL	1.28	1d	2023-09-05	10:53:20	50001787183.47
TrueUSD	TUSD	4.97	BRL	0.01	1d	2023-09-05	10:53:20	3425761055.8
Chainlink	LINK	30.25	BRL	0.44	1d	2023-09-05	10:53:20	1000000000.0
Binance USD	BUSD	4.97	BRL	-0.04	1d	2023-09-05	10:53:20	2844551207.69
Monero	XMR	695.44	BRL	-1.95	1d	2023-09-05	10:53:20	18327695.63
OKB	OKB	209.72	BRL	-0.59	1d	2023-09-05	10:53:20	300000000.0
Uniswap	UNI	21.46	BRL	-2.83	1d	2023-09-05	10:53:20	1000000000.0
Cosmos	ATOM	33.83	BRL	-0.33	1d	2023-09-05	10:53:20	362896046.0
Ethereum Classic	ETC	75.91	BRL	-0.77	1d	2023-09-05	10:53:20	210700000.0
Hedera	HBAR	0.24	BRL	0.49	1d	2023-09-05	10:53:20	50000000000.0
Internet Computer	ICP	16.35	BRL	1.15	1d	2023-09-05	10:53:20	504543445.49
Filecoin	FIL	15.99	BRL	0.64	1d	2023-09-05	10:53:20	1961452785.0
Lido DAO	LDO	7.78	BRL	1.28	1d	2023-09-05	10:53:20	1000000000.0
Mantle	MNT	2.12	BRL	-4.59	1d	2023-09-05	10:53:20	6219316794.99
Cronos	CRO	0.25	BRL	-1.31	1d	2023-09-05	10:53:20	30263013692.0
Aptos	APT	27.25	BRL	-0.43	1d	2023-09-05	10:53:20	1053609996.84
Quant	QNT	486.93	BRL	0.09	1d	2023-09-05	10:53:20	14881364.27
Arbitrum	ARB	4.48	BRL	-0.57	1d	2023-09-05	10:53:20	10000000000.0
VeChain	VET	0.08	BRL	0.2	1d	2023-09-05	10:53:20	85985041177.0
Maker	MKR	5586.81	BRL	0.37	1d	2023-09-05	10:53:20	977631.04
NEAR Protocol	NEAR	5.63	BRL	-0.06	1d	2023-09-05	10:53:20	1000000000.0
Optimism	OP	6.61	BRL	-0.75	1d	2023-09-05	10:53:20	4294967296.0
Aave	AAVE	274.61	BRL	0.67	1d	2023-09-05	10:53:20	16000000.0
The Graph	GRT	0.43	BRL	-0.93	1d	2023-09-05	10:53:20	10744580699.97
XDC Network	XDC	0.28	BRL	-1.17	1d	2023-09-05	10:53:20	37705012698.75
Algorand	ALGO	0.47	BRL	-0.2	1d	2023-09-05	10:53:20	7828351513.08
USDD	USDD	4.96	BRL	0.01	1d	2023-09-05	10:53:20	725332061.34
Stacks	STX	2.37	BRL	5.09	1d	2023-09-05	10:53:20	1818000000.0
Tezos	XTZ	3.47	BRL	-0.1	1d	2023-09-05	10:53:20	972531993.2
MultiversX	EGLD	124.23	BRL	0.21	1d	2023-09-05	10:53:20	25924742.0
EOS	EOS	2.89	BRL	0.25	1d	2023-09-05	10:53:20	1101752241.5
Axie Infinity	AXS	22.53	BRL	0.54	1d	2023-09-05	10:53:20	270000000.0
The Sandbox	SAND	1.51	BRL	-0.27	1d	2023-09-05	10:53:20	3000000000.0
Theta Network	THETA	3.07	BRL	0.84	1d	2023-09-05	10:53:20	1000000000.0
Immutable	IMX	2.72	BRL	-0.17	1d	2023-09-05	10:53:20	2000000000.0
Synthetix	SNX	10.95	BRL	1.79	1d	2023-09-05	10:53:20	323506696.09
Bitcoin SV	BSV	151.05	BRL	-0.96	1d	2023-09-05	10:53:20	19266076.64
Injective	INJ	33.93	BRL	-0.22	1d	2023-09-05	10:53:20	100000000.0
Fantom	FTM	1.01	BRL	-0.72	1d	2023-09-05	10:53:20	3175000000.0
Decentraland	MANA	1.46	BRL	0.5	1d	2023-09-05	10:53:20	2193179327.32
THORChain	RUNE	7.47	BRL	4.14	1d	2023-09-05	10:53:20	485546236.0
Neo	NEO	35.85	BRL	2.57	1d	2023-09-05	10:53:20	100000000.0
Render	RNDR	6.74	BRL	-0.26	1d	2023-09-05	10:53:20	530962614.98
ApeCoin	APE	6.68	BRL	-0.34	1d	2023-09-05	10:53:20	1000000000.0
Pax Dollar	USDP	4.95	BRL	0.26	1d	2023-09-05	10:53:20	488345990.55
Kava	KAVA	3.22	BRL	1.26	1d	2023-09-05	10:53:20	743814679.0
PAX Gold	PAXG	9529.67	BRL	-0.27	1d	2023-09-05	10:53:20	249134.67
Tether Gold	XAUt	9620.27	BRL	-0.37	1d	2023-09-05	10:53:20	246524.0
IOTA	MIOTA	0.83	BRL	-3.81	1d	2023-09-05	10:53:20	2779530283.0
Rocket Pool	RPL	116.31	BRL	-2.71	1d	2023-09-05	10:53:20	19694369.85
Flow	FLOW	2.18	BRL	-0.04	1d	2023-09-05	10:53:20	1450656993.0
