2023-08-23 12:23:05 | INFO | Dados - Moeda: bitcoin
2023-08-23 12:23:05 | INFO | Dados - Moeda: ethereum
2023-08-23 12:23:06 | INFO | Dados - Moeda: tether
2023-08-23 12:23:07 | INFO | Dados - Moeda: bnb
2023-08-23 12:23:07 | INFO | Dados - Moeda: xrp
2023-08-23 12:23:08 | INFO | Dados - Moeda: usd-coin
2023-08-23 12:23:08 | INFO | Dados - Moeda: cardano
2023-08-23 14:18:39 | INFO | Dados - Moeda: bitcoin
2023-08-23 14:18:40 | INFO | Dados - Moeda: ethereum
2023-08-23 14:18:41 | INFO | Dados - Moeda: tether
2023-08-23 14:18:42 | INFO | Dados - Moeda: bnb
2023-08-23 14:18:43 | INFO | Dados - Moeda: xrp
2023-08-23 14:18:43 | INFO | Dados - Moeda: usd-coin
2023-08-23 14:18:44 | INFO | Dados - Moeda: cardano
2023-08-23 21:06:21 | INFO | Dados - Moeda: bitcoin
2023-08-23 21:06:21 | INFO | Dados - Moeda: ethereum
2023-08-23 21:06:22 | INFO | Dados - Moeda: tether
2023-08-23 21:06:23 | INFO | Dados - Moeda: bnb
2023-08-23 21:06:23 | INFO | Dados - Moeda: xrp
2023-08-23 21:06:24 | INFO | Dados - Moeda: usd-coin
2023-08-23 21:06:25 | INFO | Dados - Moeda: cardano
